task_idx,isotropy,equinormity
0,0.2005038559436798,0.16783453524112701
1,0.13468943536281586,0.13854651153087616
2,0.19158011674880981,0.20415517687797546
3,0.10800982266664505,0.20816977322101593
4,0.15758992731571198,0.15797950327396393
5,0.32971861958503723,0.11639262735843658
6,0.2890976667404175,0.16816431283950806
7,0.2850566804409027,0.34139949083328247
8,0.32822373509407043,0.13354584574699402
9,0.20964272320270538,0.14252206683158875
10,0.11927604675292969,0.08475516736507416
11,0.22271095216274261,0.2946007251739502
12,0.1496201902627945,0.15946276485919952
13,0.17057164013385773,0.13223302364349365
14,0.3213955760002136,0.21798817813396454
15,0.15621957182884216,0.23023392260074615
16,0.22686487436294556,0.2824481725692749
17,0.11411761492490768,0.18308988213539124
18,0.2975236475467682,0.28696319460868835
19,0.4544661045074463,0.13928593695163727
20,0.23880673944950104,0.08066617697477341
21,0.4259130656719208,0.06999649107456207
22,0.26509764790534973,0.3557042181491852
23,0.2378116101026535,0.2638667821884155
24,0.20433461666107178,0.22864288091659546
25,0.18051646649837494,0.18657177686691284
26,0.2612057030200958,0.10647539049386978
27,0.12722145020961761,0.1920377016067505
28,0.2413657158613205,0.1528645008802414
29,0.22224676609039307,0.18549108505249023
