epoch,train_loss,train_acc,test_loss,test_acc,nc1,nc2,nc3,nc4
1,1.6234793457388879,0.24013333333333334,1.5831171289682389,0.2622,0.0,0.0,0.0,0.0
2,1.5759687782526017,0.27276666666666666,1.5695592246055603,0.2866166666666667,0.0,0.0,0.0,0.0
3,1.5641274917125703,0.28418333333333334,1.550086860001087,0.30168333333333336,0.0,0.0,0.0,0.0
4,1.5519155514836311,0.2987666666666667,1.5387153050899505,0.30848333333333333,0.0,0.0,0.0,0.0
5,1.5387022616267205,0.3098,1.5237928544282913,0.32888333333333336,0.0,0.0,0.0,0.0
6,1.5265653541088104,0.31901666666666667,1.507420228600502,0.33515,0.0,0.0,0.0,0.0
7,1.508415935754776,0.33405,1.477296711742878,0.3609833333333333,0.0,0.0,0.0,0.0
8,1.4884885077476502,0.3506,1.4609338018298148,0.37123333333333336,0.0,0.0,0.0,0.0
9,1.4652534158229829,0.3692,1.4224566214084626,0.40298333333333336,0.0,0.0,0.0,0.0
10,1.435490119457245,0.3892,1.3732472507953644,0.43201666666666666,9.84122085571289,0.34683743119239807,0.2333328276872635,0.5903666666666667
11,1.3930634373426438,0.41481666666666667,1.378602266073227,0.4207666666666667,0.0,0.0,0.0,0.0
12,1.3386457785964012,0.44661666666666666,1.5211573401689529,0.37023333333333336,0.0,0.0,0.0,0.0
13,1.2682741920351983,0.48386666666666667,1.1673814158737659,0.5351,0.0,0.0,0.0,0.0
14,1.166425135821104,0.53325,1.031092433989048,0.5928166666666667,0.0,0.0,0.0,0.0
15,1.0377584575712682,0.59325,0.9993807046413422,0.6018666666666667,0.0,0.0,0.0,0.0
16,0.8731732986867428,0.6625,0.7334068083167076,0.72335,0.0,0.0,0.0,0.0
17,0.712923950433731,0.7316833333333334,0.5368945776820183,0.80485,0.0,0.0,0.0,0.0
18,0.5412482593953609,0.8004666666666667,0.6141098962128162,0.7594666666666666,0.0,0.0,0.0,0.0
19,0.4282028099298477,0.8457333333333333,0.509380547054112,0.8204833333333333,0.0,0.0,0.0,0.0
20,0.2985522870346904,0.8957666666666667,0.3814024543315172,0.8628166666666667,1.923048973083496,0.19204466044902802,0.17385154962539673,0.6588333333333334
21,0.23518169957213103,0.91955,0.20163668558746575,0.9326666666666666,0.0,0.0,0.0,0.0
22,0.17286560760438444,0.9430666666666667,0.37011553544551135,0.8663166666666666,0.0,0.0,0.0,0.0
23,0.16123431469500066,0.9459833333333333,0.22424660470336677,0.9229333333333334,0.0,0.0,0.0,0.0
24,0.12065577605180443,0.95975,0.1294944774415344,0.9566833333333333,0.0,0.0,0.0,0.0
25,0.10135679419990629,0.9679,0.10895871297083795,0.9643166666666667,0.0,0.0,0.0,0.0
26,0.09549536571186036,0.96885,0.0773210794404149,0.9755666666666667,0.0,0.0,0.0,0.0
27,0.0653489289432764,0.9798333333333333,0.037837054264033214,0.99015,0.0,0.0,0.0,0.0
28,0.03775714236195199,0.9900166666666667,0.029155923941056244,0.9919833333333333,0.0,0.0,0.0,0.0
