task,slot,n_samples,mu_norm,centered_norm_mtk,"cos(W_k, m_tk)",nc3_sub,dist_to_slot_center
21,0,400,6.478687763214111,1.5669646263122559,0.6041966676712036,0.3958033323287964,1.2016866207122803
21,1,400,6.13317346572876,1.3671225309371948,0.5972719788551331,0.40272802114486694,1.0135959386825562
21,2,400,5.656569004058838,1.1397095918655396,0.671592116355896,0.328407883644104,0.7438052296638489
21,3,400,7.239372253417969,2.327054023742676,0.44409891963005066,0.5559010803699493,1.991654872894287
21,4,400,7.290672302246094,2.3730549812316895,0.432908833026886,0.567091166973114,1.7332377433776855
22,0,400,5.1957526206970215,1.404829740524292,0.6032549738883972,0.3967450261116028,1.1472694873809814
22,1,400,7.105576515197754,2.715977191925049,0.37960296869277954,0.6203970313072205,2.4491140842437744
22,2,400,6.202998161315918,1.1673105955123901,0.7236690521240234,0.27633094787597656,0.686454176902771
22,3,400,4.07620096206665,2.7042274475097656,0.27141666412353516,0.7285833358764648,2.380678176879883
22,4,400,5.766448974609375,1.6184728145599365,0.5403810739517212,0.4596189260482788,1.2306312322616577
23,0,400,5.347080707550049,1.1974512338638306,0.6440696716308594,0.3559303283691406,1.0486687421798706
23,1,400,6.158774375915527,1.9278515577316284,0.4681139588356018,0.5318860411643982,1.7911328077316284
23,2,400,5.149380683898926,1.3105919361114502,0.5177673101425171,0.4822326898574829,1.0468846559524536
23,3,400,6.140647888183594,1.1549243927001953,0.7290052771568298,0.27099472284317017,0.7984009981155396
23,4,400,4.612626552581787,2.358445644378662,0.34971192479133606,0.6502880752086639,2.2737770080566406
24,0,400,6.175848007202148,1.1599502563476562,0.7458365559577942,0.2541634440422058,0.5483863949775696
24,1,400,6.38278865814209,1.3234113454818726,0.6204441785812378,0.3795558214187622,0.8381880521774292
24,2,400,6.01298189163208,1.583267331123352,0.4948129653930664,0.5051870346069336,1.3409265279769897
24,3,400,5.5349507331848145,1.1601264476776123,0.7096949815750122,0.2903050184249878,0.6398235559463501
24,4,400,6.228595733642578,1.9597508907318115,0.4938180446624756,0.5061819553375244,1.439773440361023
25,0,400,6.882314205169678,1.5952872037887573,0.6120080947875977,0.38799190521240234,0.9500234127044678
25,1,400,5.755508899688721,1.1413145065307617,0.717067301273346,0.28293269872665405,0.6458204388618469
25,2,400,6.0412421226501465,1.080550193786621,0.7154550552368164,0.2845449447631836,0.4949242174625397
25,3,400,5.351468563079834,1.5485408306121826,0.5141288638114929,0.4858711361885071,1.096757411956787
25,4,400,6.240795135498047,1.127979040145874,0.7691020965576172,0.2308979034423828,0.5333893895149231
26,0,400,5.965244293212891,1.1261086463928223,0.787775993347168,0.21222400665283203,0.5204069018363953
26,1,400,6.116549015045166,1.3982033729553223,0.6119640469551086,0.38803595304489136,1.1722426414489746
26,2,400,5.188382148742676,1.1067113876342773,0.6315801739692688,0.3684198260307312,0.7785828113555908
26,3,400,5.494339942932129,1.3213412761688232,0.6070216298103333,0.39297837018966675,1.0080933570861816
26,4,400,6.329156875610352,1.6068036556243896,0.5732582807540894,0.42674171924591064,1.1663954257965088
27,0,400,6.374836444854736,1.2990097999572754,0.6664214730262756,0.33357852697372437,0.616212010383606
27,1,400,6.964740753173828,1.9395151138305664,0.5163986682891846,0.48360133171081543,1.6899335384368896
27,2,400,5.234671592712402,1.4927704334259033,0.47929680347442627,0.5207031965255737,1.2932775020599365
27,3,400,5.684596538543701,1.6159310340881348,0.48916545510292053,0.5108345448970795,1.494266390800476
27,4,400,5.9349236488342285,1.0084646940231323,0.7711437940597534,0.22885620594024658,0.9987947344779968
28,0,400,7.6164631843566895,2.5278077125549316,0.42294400930404663,0.5770559906959534,1.9520772695541382
28,1,400,7.351887226104736,2.4826862812042236,0.3814040422439575,0.6185959577560425,2.164351224899292
28,2,400,6.080801963806152,1.3681749105453491,0.5884312391281128,0.4115687608718872,1.0152511596679688
28,3,400,5.777363300323486,1.31700599193573,0.6029965281486511,0.3970034718513489,1.1783024072647095
28,4,400,6.196084022521973,1.4546468257904053,0.6272711157798767,0.3727288842201233,0.9491475224494934
29,0,400,5.8144073486328125,1.2115634679794312,0.6976833939552307,0.3023166060447693,0.7705870270729065
29,1,400,6.46474027633667,1.3587970733642578,0.6319046020507812,0.36809539794921875,0.8603986501693726
29,2,400,6.134284973144531,1.0844656229019165,0.8025757670402527,0.19742423295974731,0.5261169672012329
29,3,400,5.174998760223389,1.6982934474945068,0.44124898314476013,0.5587510168552399,1.205962061882019
29,4,400,6.48126745223999,1.5151212215423584,0.6124439239501953,0.3875560760498047,1.0395357608795166
