task_idx,isotropy,equinormity
0,0.25053924322128296,0.26408880949020386
1,0.25468647480010986,0.18119798600673676
2,0.26433008909225464,0.11492999643087387
3,0.40943604707717896,0.41151291131973267
4,0.36860334873199463,0.461774080991745
5,0.3352966606616974,0.27668145298957825
6,0.2793531119823456,0.12589052319526672
7,0.33362624049186707,0.42829906940460205
8,0.19512511789798737,0.25155478715896606
9,0.18750996887683868,0.15716499090194702
10,0.2928294241428375,0.310482382774353
11,0.2593786418437958,0.3430019021034241
12,0.1810847818851471,0.14008258283138275
13,0.20839525759220123,0.23918801546096802
14,0.24224430322647095,0.19682978093624115
15,0.2051769345998764,0.2673015594482422
16,0.19368469715118408,0.1607600450515747
17,0.15400654077529907,0.24564850330352783
18,0.29600200057029724,0.31001633405685425
19,0.3977314531803131,0.21557162702083588
20,0.20546157658100128,0.21928319334983826
21,0.47500619292259216,0.14812977612018585
22,0.2163095921278,0.3499433100223541
23,0.20176514983177185,0.25151512026786804
24,0.3304039537906647,0.2630856931209564
25,0.22981306910514832,0.22794026136398315
26,0.43097350001335144,0.21155725419521332
27,0.2767099440097809,0.31723201274871826
28,0.34031006693840027,0.23591865599155426
29,0.18218852579593658,0.255235493183136
