epoch,train_loss,train_acc,test_loss,test_acc,nc1,nc2,nc3,nc4
1,2.0796935494740802,0.20074074074074075,1.6533861398696899,0.2,0.0,0.0,0.0,0.0
2,1.6233235184351604,0.2008888888888889,1.6129576365152996,0.2,0.0,0.0,0.0,0.0
3,1.6169857962926228,0.20266666666666666,1.6114463408788045,0.2,0.0,0.0,0.0,0.0
4,1.6164132976531982,0.18518518518518517,1.6110205173492431,0.20933333333333334,0.0,0.0,0.0,0.0
5,1.6134968121846518,0.20103703703703704,1.616670266787211,0.2,0.0,0.0,0.0,0.0
6,1.6131865898768107,0.19955555555555557,1.6102994124094645,0.2,0.0,0.0,0.0,0.0
7,1.593497602144877,0.23703703703703705,3.873856258392334,0.2,0.0,0.0,0.0,0.0
8,1.509886622428894,0.31822222222222224,5.047761694590251,0.2,0.0,0.0,0.0,0.0
9,1.4654935789108277,0.3628148148148148,6.419227186838786,0.2,0.0,0.0,0.0,0.0
10,1.423753620783488,0.38592592592592595,12.16173267364502,0.2,"tensor(10.9745, device='cuda:0')",0.16287614405155182,1.0109070539474487,0.2806666666666667
11,1.3451446882883709,0.43007407407407405,3.5521982510884604,0.2,0.0,0.0,0.0,0.0
12,1.2287200323740641,0.48903703703703705,5.5452425638834635,0.2,0.0,0.0,0.0,0.0
13,1.1460743713378907,0.5211851851851852,9.105629603068033,0.2,0.0,0.0,0.0,0.0
14,1.1038711746533711,0.554962962962963,12.657318305969238,0.2,0.0,0.0,0.0,0.0
15,1.044694159825643,0.5767407407407408,4.023638852437338,0.2,0.0,0.0,0.0,0.0
16,0.967315579255422,0.6137777777777778,22.97644131978353,0.2,0.0,0.0,0.0,0.0
17,0.9039376425743103,0.6522962962962963,8.480471229553222,0.2,0.0,0.0,0.0,0.0
18,0.8477831625938416,0.6737777777777778,42.64121551513672,0.2,0.0,0.0,0.0,0.0
19,0.7912042260169982,0.6899259259259259,8.216704909006754,0.2,0.0,0.0,0.0,0.0
20,0.736618234316508,0.7128888888888889,28.513536834716795,0.2,"tensor(36.0497, device='cuda:0')",0.06956440210342407,0.9961181879043579,0.3566666666666667
21,0.6760707076390584,0.7395555555555555,4.425371694564819,0.2,0.0,0.0,0.0,0.0
22,0.6067092537879943,0.768,100.2026153564453,0.2,0.0,0.0,0.0,0.0
23,0.5410311647256215,0.7917037037037037,4.025636164347331,0.2,0.0,0.0,0.0,0.0
24,0.4547219588359197,0.8336296296296296,16.76063346862793,0.2,0.0,0.0,0.0,0.0
25,0.39027770022551217,0.8554074074074074,14.513345654805502,0.2,0.0,0.0,0.0,0.0
26,0.3221569516261419,0.8838518518518519,98.16878407796224,0.2,0.0,0.0,0.0,0.0
27,0.23345844785372416,0.9195555555555556,11.19665075937907,0.20066666666666666,0.0,0.0,0.0,0.0
28,0.17982713441054027,0.937037037037037,50.23249104817708,0.2,0.0,0.0,0.0,0.0
29,0.17939307739337285,0.9371851851851852,9.390036455790202,0.2,0.0,0.0,0.0,0.0
30,0.1672590443491936,0.9425185185185185,42.5798698425293,0.19733333333333333,"tensor(23.7212, device='cuda:0')",0.1202738806605339,0.9893262982368469,0.06266666666666666
31,0.13327900235851606,0.9554074074074074,14.522559611002604,0.2,0.0,0.0,0.0,0.0
32,0.07836680402358373,0.9765925925925926,15.02345511118571,0.2,0.0,0.0,0.0,0.0
33,0.07030557319521905,0.977037037037037,2.1323184251785277,0.20266666666666666,0.0,0.0,0.0,0.0
34,0.06995207163194815,0.9802962962962963,16.625166511535646,0.24266666666666667,0.0,0.0,0.0,0.0
35,0.08776746891438961,0.9734814814814815,20.282141367594402,0.2,0.0,0.0,0.0,0.0
36,0.10215289505819479,0.9663703703703703,8.87946367263794,0.2,0.0,0.0,0.0,0.0
37,0.09359085328876972,0.9702222222222222,43.65418243408203,0.2,0.0,0.0,0.0,0.0
38,0.1418337275584539,0.9496296296296296,85.63181966145834,0.2,0.0,0.0,0.0,0.0
39,0.11443666170040766,0.9613333333333334,3.3629820664723713,0.242,0.0,0.0,0.0,0.0
40,0.09156578597923119,0.9718518518518519,11.279355494181315,0.2,"tensor(17.5605, device='cuda:0')",0.37391501665115356,0.9885635375976562,0.294
41,0.04570431674520175,0.9887407407407407,16.67212543487549,0.20933333333333334,0.0,0.0,0.0,0.0
42,0.02750320435812076,0.9933333333333333,45.992409769694014,0.2,0.0,0.0,0.0,0.0
43,0.028178182430565357,0.9921481481481481,13.180535316467285,0.202,0.0,0.0,0.0,0.0
44,0.020849786028265954,0.9957037037037038,14.1508150100708,0.2,0.0,0.0,0.0,0.0
45,0.011736815509696802,0.9985185185185185,3.8177433172861734,0.2753333333333333,0.0,0.0,0.0,0.0
46,0.0025869092368520797,1.0,5.0984064420064295,0.206,0.0,0.0,0.0,0.0
47,0.0013346868730150163,1.0,3.920095268885295,0.27666666666666667,0.0,0.0,0.0,0.0
48,0.001275300234556198,1.0,3.7413031895955404,0.2926666666666667,0.0,0.0,0.0,0.0
49,0.0013693603958624104,1.0,4.618895022074382,0.22466666666666665,0.0,0.0,0.0,0.0
50,0.001577240047045052,1.0,4.463269472122192,0.23066666666666666,"tensor(7.4877, device='cuda:0')",0.4831375479698181,0.45855194330215454,0.268
51,0.0017129721717598538,1.0,3.5237184365590415,0.298,0.0,0.0,0.0,0.0
52,0.0015535228334677717,1.0,2.2307312806447346,0.408,0.0,0.0,0.0,0.0
53,0.0016947533267860611,1.0,3.3835386276245116,0.20866666666666667,0.0,0.0,0.0,0.0
54,0.0016163686484408875,1.0,3.4434831460316975,0.23066666666666666,0.0,0.0,0.0,0.0
55,0.0015740430494770408,1.0,3.1334542592366534,0.32466666666666666,0.0,0.0,0.0,0.0
56,0.0016245357599109411,1.0,3.7708880583445232,0.2846666666666667,0.0,0.0,0.0,0.0
57,0.0015449484763666987,1.0,4.780576674143473,0.22333333333333333,0.0,0.0,0.0,0.0
58,0.0015430297663745782,1.0,4.8451529820760095,0.20866666666666667,0.0,0.0,0.0,0.0
59,0.0014139854069799185,1.0,2.2496991634368895,0.2786666666666667,0.0,0.0,0.0,0.0
60,0.0014336391918671628,1.0,3.9595078945159914,0.298,"tensor(7.4833, device='cuda:0')",0.5841848850250244,0.5027726888656616,0.5713333333333334
61,0.0014077288036545117,1.0,5.176893615722657,0.24466666666666667,0.0,0.0,0.0,0.0
62,0.0014197297681433458,1.0,4.553560225168864,0.20133333333333334,0.0,0.0,0.0,0.0
63,0.0013858183574241897,1.0,4.34982271194458,0.254,0.0,0.0,0.0,0.0
64,0.5769034226448275,0.7545185185185185,491.64281412760414,0.2,0.0,0.0,0.0,0.0
65,1.434404452641805,0.3848888888888889,33.384203338623045,0.2,0.0,0.0,0.0,0.0
66,1.3016059716542563,0.4619259259259259,9.886081759134928,0.2,0.0,0.0,0.0,0.0
67,1.232147879600525,0.49274074074074076,29.961612192789712,0.2,0.0,0.0,0.0,0.0
68,1.1597774640719096,0.5317037037037037,2.616219329833984,0.23133333333333334,0.0,0.0,0.0,0.0
69,1.121954731941223,0.5477037037037037,71.22035725911458,0.2,0.0,0.0,0.0,0.0
70,1.0721414438883463,0.5684444444444444,84.17604522705078,0.2,"tensor(47.8667, device='cuda:0')",0.09203680604696274,0.9805192947387695,0.356
71,1.035168675581614,0.5823703703703703,7.0852631568908695,0.2,0.0,0.0,0.0,0.0
72,0.9871324825286866,0.6004444444444444,25.421367009480793,0.2,0.0,0.0,0.0,0.0
73,0.9463709115982055,0.6254814814814815,12.668395741780598,0.2,0.0,0.0,0.0,0.0
74,0.908630166053772,0.6416296296296297,46.20065587361653,0.2,0.0,0.0,0.0,0.0
75,0.8813960194587708,0.6524444444444445,14.923487536112468,0.2,0.0,0.0,0.0,0.0
76,0.845221692721049,0.6702222222222223,8.494326305389404,0.2,0.0,0.0,0.0,0.0
77,0.7764721322059631,0.6934814814814815,81.44596303304037,0.2,0.0,0.0,0.0,0.0
78,0.7495000648498535,0.7062222222222222,6.698709074656168,0.2,0.0,0.0,0.0,0.0
79,0.7039874740441641,0.733037037037037,91.76679229736328,0.2,0.0,0.0,0.0,0.0
80,0.6549989680449168,0.748,33.29607098897298,0.2,"tensor(57.8563, device='cuda:0')",0.25653076171875,0.9892750978469849,0.29333333333333333
81,0.5863518496354421,0.7721481481481481,66.50105005900065,0.2,0.0,0.0,0.0,0.0
82,0.5359599387645722,0.7995555555555556,43.741259511311846,0.2,0.0,0.0,0.0,0.0
83,0.4553069233894348,0.8284444444444444,79.73996124267578,0.2,0.0,0.0,0.0,0.0
84,0.4686560638745626,0.822962962962963,4.8272577603658045,0.2,0.0,0.0,0.0,0.0
85,0.48253294785817463,0.8192592592592592,77.76227518717448,0.2,0.0,0.0,0.0,0.0
86,0.37205513179302213,0.8604444444444445,6.876713530222575,0.2,0.0,0.0,0.0,0.0
87,0.29346136927604677,0.8971851851851852,9.076004981994629,0.2793333333333333,0.0,0.0,0.0,0.0
88,0.21948056081930797,0.924,59.90235392252604,0.2,0.0,0.0,0.0,0.0
89,0.2528487158815066,0.9074074074074074,9.899325307210287,0.2,0.0,0.0,0.0,0.0
90,0.2067502381404241,0.9275555555555556,21.71678746541341,0.2,"tensor(17.0669, device='cuda:0')",0.48897531628608704,0.9922165274620056,0.32
91,0.17313577085733414,0.9394074074074074,38.18031361897786,0.2,0.0,0.0,0.0,0.0
92,0.12611228436231614,0.9564444444444444,249.30628967285156,0.2,0.0,0.0,0.0,0.0
93,0.15082565342386564,0.9457777777777778,11.477892557779947,0.19533333333333333,0.0,0.0,0.0,0.0
94,0.1590064685543378,0.946962962962963,7.330427138010661,0.2,0.0,0.0,0.0,0.0
95,0.13052404507994653,0.953925925925926,33.10499254862467,0.2,0.0,0.0,0.0,0.0
96,0.14000067204236985,0.9506666666666667,76.63161722819011,0.2,0.0,0.0,0.0,0.0
97,0.11178352966904641,0.9622222222222222,26.751270421346028,0.2,0.0,0.0,0.0,0.0
98,0.07996358774602413,0.976,42.10013885498047,0.2,0.0,0.0,0.0,0.0
99,0.09074438979228337,0.9703703703703703,111.20255126953126,0.2,0.0,0.0,0.0,0.0
100,0.1324913889169693,0.9540740740740741,8.849866008758545,0.2,"tensor(29.0180, device='cuda:0')",0.005165310576558113,0.9835757613182068,0.338
101,0.1134261370698611,0.9623703703703703,118.35364888509115,0.2,0.0,0.0,0.0,0.0
102,0.09325741857290268,0.968,39.61010767618815,0.2,0.0,0.0,0.0,0.0
103,0.07553963543226322,0.9749629629629629,5.194431622823079,0.20133333333333334,0.0,0.0,0.0,0.0
104,0.05595487733681997,0.9811851851851852,37.00363260904948,0.2,0.0,0.0,0.0,0.0
105,0.0739694997916619,0.9743703703703703,52.38939743041992,0.2,0.0,0.0,0.0,0.0
106,0.16449699039260546,0.9413333333333334,9.928944651285807,0.2,0.0,0.0,0.0,0.0
107,0.2345661868651708,0.9143703703703704,17.089155260721842,0.2,0.0,0.0,0.0,0.0
