task_idx,epoch,train_loss,train_acc,train_eval_loss,train_eval_acc,nc1,nc2,nc3,nc4
0,1,1.3983097153902053,0.4485,2.5446215426921843,0.4,0.0,0.0,0.0,0.0
0,2,1.2661792740225792,0.5485,2.487808790206909,0.327,0.0,0.0,0.0,0.0
0,3,0.9358395114541054,0.658,1.321928146481514,0.6065,0.0,0.0,0.0,0.0
0,4,0.9636920702457428,0.6615,1.0199408155679703,0.661,0.0,0.0,0.0,0.0
0,5,0.942378297150135,0.6615,1.5424765640497207,0.5465,2.9046719074249268,0.6580830216407776,0.3157917261123657,0.5
0,6,0.666168799251318,0.749,0.9065562035143375,0.6825,0.0,0.0,0.0,0.0
0,7,0.5763271707296371,0.783,1.7324467051029204,0.525,0.0,0.0,0.0,0.0
0,8,0.43645288959145545,0.8405,1.4862231531739234,0.6195,0.0,0.0,0.0,0.0
0,9,0.33611810438334944,0.88,0.34471984647214415,0.8565,0.0,0.0,0.0,0.0
0,10,0.224930288977921,0.9245,1.1889947018027305,0.6625,0.5770750045776367,0.43902772665023804,0.21839876472949982,0.5985
0,11,0.11433579934760928,0.9675,0.09390929643064737,0.98,0.0,0.0,0.0,0.0
0,12,0.059755928916856646,0.9845,0.16909431386739016,0.9375,0.0,0.0,0.0,0.0
0,13,0.04155151496641338,0.99,0.32629730097949505,0.8915,0.0,0.0,0.0,0.0
0,14,0.029741106699220837,0.993,0.012517207213677465,0.999,0.0,0.0,0.0,0.0
0,15,0.11149337293347344,0.9685,1.5606775003671647,0.757,0.5981717109680176,0.5621141195297241,0.26750460267066956,0.7555
0,16,0.13418577471747994,0.949,0.7163236118853092,0.838,0.0,0.0,0.0,0.0
0,17,0.10945610012859106,0.9605,0.8635162958502769,0.7775,0.0,0.0,0.0,0.0
0,18,0.09685134533792734,0.966,1.0620550826191901,0.7495,0.0,0.0,0.0,0.0
0,19,0.06554053825326264,0.98,0.13770628452301026,0.957,0.0,0.0,0.0,0.0
0,20,0.05061314486898482,0.9845,0.1405917375534773,0.947,0.35554322600364685,0.18999509513378143,0.13060429692268372,0.922
0,21,0.020000931909307837,0.9965,0.011759795441757887,0.999,0.0,0.0,0.0,0.0
0,22,0.010240385598735883,0.9985,0.09721181262284517,0.9655,0.0,0.0,0.0,0.0
0,23,0.007221957534784451,0.9995,0.00799128295155242,1.0,0.0,0.0,0.0,0.0
0,24,0.0020071909780381247,1.0,0.0007832884015806485,1.0,0.0,0.0,0.0,0.0
0,25,0.0008626251682289876,1.0,0.0004636193296755664,1.0,0.25828438997268677,0.19442014396190643,0.11256807297468185,0.9925
1,1,1.6385310071706771,0.33,11.63981903553009,0.211,0.0,0.0,0.0,0.0
1,2,1.3883820289373399,0.4325,1.6244623231887818,0.389,0.0,0.0,0.0,0.0
