task_idx,accuracy,num_samples,nc1,nc2,nc3,nc4,isotropy,equinormity
0,0.685,2000,0.8788507580757141,0.28077828884124756,0.2419498711824417,0.7275,0.1721809357404709,0.22178855538368225
1,0.636,2000,1.3624356985092163,0.28241217136383057,0.20562481880187988,0.6355,0.2497342824935913,0.13186897337436676
2,0.71,2000,0.9276631474494934,0.2034744769334793,0.19213701784610748,0.732,0.15316136181354523,0.13395319879055023
3,0.615,2000,1.0650579929351807,0.2878026068210602,0.30145183205604553,0.5995,0.20887941122055054,0.19798924028873444
4,0.6725,2000,0.9897861480712891,0.22971351444721222,0.1988639384508133,0.7115,0.1368471086025238,0.1845024824142456
5,0.6525,2000,0.9175871014595032,0.2741730511188507,0.2987377643585205,0.6835,0.23379391431808472,0.1432175487279892
6,0.698,2000,0.8649755716323853,0.46749189496040344,0.31683698296546936,0.726,0.439831018447876,0.1584213823080063
7,0.687,2000,1.0140999555587769,0.4514007270336151,0.2774902284145355,0.727,0.3038993179798126,0.33377811312675476
8,0.6635,2000,0.9849881529808044,0.3585665225982666,0.25383925437927246,0.6755,0.28667667508125305,0.21537508070468903
9,0.749,2000,0.8381586074829102,0.26819050312042236,0.2765900194644928,0.724,0.2279442399740219,0.14130666851997375
10,0.715,2000,1.0468822717666626,0.26508384943008423,0.21049633622169495,0.7385,0.2211841642856598,0.14610615372657776
11,0.681,2000,1.206292986869812,0.3317618668079376,0.1928865909576416,0.6865,0.17510531842708588,0.28178727626800537
12,0.636,2000,0.8929815292358398,0.24303185939788818,0.3035168945789337,0.6865,0.1718437522649765,0.17185519635677338
13,0.6515,2000,1.2033923864364624,0.2340659499168396,0.19211655855178833,0.7025,0.1809273511171341,0.14849971234798431
14,0.7055,2000,0.9884738922119141,0.21321555972099304,0.3013644218444824,0.7105,0.13719238340854645,0.16321495175361633
15,0.705,2000,0.8994531631469727,0.38981398940086365,0.22848372161388397,0.7235,0.21142441034317017,0.32749760150909424
16,0.664,2000,0.820722758769989,0.3761211931705475,0.35002925992012024,0.662,0.20383113622665405,0.3161012828350067
17,0.661,2000,0.9255437254905701,0.24330656230449677,0.31995734572410583,0.6865,0.15964317321777344,0.18360865116119385
18,0.737,2000,0.8922931551933289,0.3541354537010193,0.31283360719680786,0.7255,0.25419604778289795,0.24656902253627777
19,0.6735,2000,1.0185883045196533,0.3977757692337036,0.29907065629959106,0.6965,0.34549155831336975,0.19713231921195984
20,0.652,2000,1.0452531576156616,0.2335657775402069,0.27403005957603455,0.6625,0.20317138731479645,0.11521440744400024
21,0.695,2000,0.9126958847045898,0.4059654176235199,0.2780120372772217,0.751,0.3888351321220398,0.11668399721384048
22,0.7475,2000,0.6988312005996704,0.5469862818717957,0.3638979494571686,0.7405,0.30446919798851013,0.454414427280426
23,0.5515,2000,1.5049612522125244,0.4909289479255676,0.41008836030960083,0.558,0.35742810368537903,0.33653584122657776
24,0.661,2000,1.1183034181594849,0.33142074942588806,0.26444098353385925,0.6895,0.31309157609939575,0.1086893305182457
25,0.697,2000,1.2068690061569214,0.2922177016735077,0.20383167266845703,0.7645,0.1699220985174179,0.23773442208766937
26,0.6255,2000,1.4914900064468384,0.19024433195590973,0.18637391924858093,0.698,0.12241193652153015,0.14563043415546417
27,0.6825,2000,1.1455811262130737,0.304202139377594,0.28763243556022644,0.684,0.1896699219942093,0.23783241212368011
28,0.747,2000,0.9022268652915955,0.4147031009197235,0.25473034381866455,0.7225,0.23914462327957153,0.33880454301834106
29,0.671,2000,1.1698732376098633,0.2753022611141205,0.19728383421897888,0.6975,0.16617529094219208,0.2194928526878357
