task_idx,isotropy,equinormity
0,0.1721809357404709,0.22178855538368225
1,0.2497342824935913,0.13186897337436676
2,0.15316136181354523,0.13395319879055023
3,0.20887941122055054,0.19798924028873444
4,0.1368471086025238,0.1845024824142456
5,0.23379391431808472,0.1432175487279892
6,0.439831018447876,0.1584213823080063
7,0.3038993179798126,0.33377811312675476
8,0.28667667508125305,0.21537508070468903
9,0.2279442399740219,0.14130666851997375
10,0.2211841642856598,0.14610615372657776
11,0.17510531842708588,0.28178727626800537
12,0.1718437522649765,0.17185519635677338
13,0.1809273511171341,0.14849971234798431
14,0.13719238340854645,0.16321495175361633
15,0.21142441034317017,0.32749760150909424
16,0.20383113622665405,0.3161012828350067
17,0.15964317321777344,0.18360865116119385
18,0.25419604778289795,0.24656902253627777
19,0.34549155831336975,0.19713231921195984
20,0.20317138731479645,0.11521440744400024
21,0.3888351321220398,0.11668399721384048
22,0.30446919798851013,0.454414427280426
23,0.35742810368537903,0.33653584122657776
24,0.31309157609939575,0.1086893305182457
25,0.1699220985174179,0.23773442208766937
26,0.12241193652153015,0.14563043415546417
27,0.1896699219942093,0.23783241212368011
28,0.23914462327957153,0.33880454301834106
29,0.16617529094219208,0.2194928526878357
