slot,n_samples,w_norm,mu_k_norm,mu_G_norm,centered_norm_mk,"cos(W_k, m_k)",nc3_k
0,12000,2.6045303344726562,2.296466112136841,2.0345067977905273,0.7655233144760132,0.9549455642700195,0.04505443572998047
1,12000,2.784163236618042,2.190211057662964,2.0345067977905273,0.7120702862739563,0.9628996849060059,0.03710031509399414
2,12000,2.685563564300537,2.1076266765594482,2.0345067977905273,0.6258649826049805,0.97247314453125,0.02752685546875
3,12000,2.7090086936950684,1.9344322681427002,2.0345067977905273,0.6268771886825562,0.9598162174224854,0.04018378257751465
4,12000,2.701409339904785,2.1805336475372314,2.0345067977905273,0.6601402759552002,0.9674476981163025,0.03255230188369751
