task_idx,epoch,train_loss,train_acc,test_loss,test_acc,nc1,nc2,nc3,nc4
0,1,2.9557407331466674,0.20577777777777778,3.0649621963500975,0.2,0.0,0.0,0.0,0.0
0,2,1.7368891191482545,0.20044444444444445,1.643163299560547,0.2,0.0,0.0,0.0,0.0
0,3,1.6251643657684327,0.19466666666666665,1.6197022676467896,0.2,0.0,0.0,0.0,0.0
0,4,1.621002459526062,0.19377777777777777,1.6151878833770752,0.2,0.0,0.0,0.0,0.0
0,5,1.6176348638534546,0.192,1.6222891330718994,0.2,0.0,0.0,0.0,0.0
0,6,1.6209037065505982,0.18488888888888888,1.6130940675735475,0.2,0.0,0.0,0.0,0.0
0,7,1.614158034324646,0.208,1.6125999450683595,0.2,0.0,0.0,0.0,0.0
0,8,1.612499852180481,0.18444444444444444,1.6095017910003662,0.2,0.0,0.0,0.0,0.0
0,9,1.6126842498779297,0.18888888888888888,1.6101450443267822,0.2,0.0,0.0,0.0,0.0
0,10,1.6127624750137328,0.18488888888888888,1.6104121685028077,0.2,"tensor(10.3622, device='cuda:0')",0.002273865044116974,0.9935638308525085,0.16
0,11,1.6116968965530396,0.19955555555555557,1.6097434282302856,0.2,0.0,0.0,0.0,0.0
0,12,1.6120420694351196,0.2008888888888889,1.6141119956970216,0.2,0.0,0.0,0.0,0.0
0,13,1.614518675804138,0.20666666666666667,1.6110561847686768,0.2,0.0,0.0,0.0,0.0
0,14,1.5738434505462646,0.29288888888888887,2.251287031173706,0.2,0.0,0.0,0.0,0.0
0,15,1.508819351196289,0.3,2.918810415267944,0.2,0.0,0.0,0.0,0.0
0,16,1.3351451015472413,0.4017777777777778,3.2137232780456544,0.2,0.0,0.0,0.0,0.0
0,17,1.2825923347473145,0.43822222222222224,4.719627952575683,0.2,0.0,0.0,0.0,0.0
0,18,1.2488633298873901,0.47333333333333333,3.661339616775513,0.264,0.0,0.0,0.0,0.0
0,19,1.2357367610931396,0.484,2.3327382087707518,0.2,0.0,0.0,0.0,0.0
0,20,1.235274772644043,0.49066666666666664,2.5072782039642334,0.2,"tensor(8.6458, device='cuda:0')",0.15323768556118011,1.0389795303344727,0.09
0,21,1.1939004564285278,0.5057777777777778,2.3777127265930176,0.2,0.0,0.0,0.0,0.0
0,22,1.1094425630569458,0.5497777777777778,4.1655372142791744,0.2,0.0,0.0,0.0,0.0
0,23,1.034266347885132,0.5822222222222222,12.969054031372071,0.2,0.0,0.0,0.0,0.0
0,24,0.9649734902381897,0.6186666666666667,16.1968656539917,0.2,0.0,0.0,0.0,0.0
0,25,0.9224018716812133,0.6217777777777778,4.84126844406128,0.2,0.0,0.0,0.0,0.0
0,26,0.8487582612037659,0.6595555555555556,3.1982648849487303,0.26,0.0,0.0,0.0,0.0
0,27,0.8246603775024414,0.6635555555555556,5.802079391479492,0.2,0.0,0.0,0.0,0.0
0,28,0.8038434600830078,0.6728888888888889,5.8062718391418455,0.202,0.0,0.0,0.0,0.0
0,29,0.7137954998016357,0.7271111111111112,6.517969703674316,0.2,0.0,0.0,0.0,0.0
