task_idx,nc1,nc2,nc3,nc4,isotropy,equinormity,accuracy,reached_threshold,epochs_trained
0,"tensor(1.1993, device='cuda:0')",0.4749372899532318,0.30974510312080383,0.726,0.4415337145328522,0.17496688663959503,0.63,False,200
1,"tensor(4.4985, device='cuda:0')",0.7408440709114075,0.551367461681366,0.494,0.45414793491363525,0.5853200554847717,0.414,False,200
2,"tensor(2.0164, device='cuda:0')",0.5105085372924805,0.2290211170911789,0.848,0.3979920446872711,0.31972062587738037,0.66,False,200
