task_idx,isotropy,equinormity
0,0.14197660982608795,0.132822647690773
1,0.14970792829990387,0.04062347114086151
2,0.16575181484222412,0.12239285558462143
3,0.12340681999921799,0.18469297885894775
4,0.16082435846328735,0.1867954432964325
5,0.138833150267601,0.15839897096157074
6,0.23665985465049744,0.05552760139107704
7,0.14321249723434448,0.1501661092042923
8,0.15193389356136322,0.13810765743255615
9,0.19017983973026276,0.08020004630088806
10,0.17525461316108704,0.1253158450126648
11,0.11128280311822891,0.17159107327461243
12,0.13217420876026154,0.10462789237499237
13,0.17652900516986847,0.11009824275970459
14,0.11555233597755432,0.10540008544921875
15,0.1374688744544983,0.16195176541805267
16,0.18494804203510284,0.1354551911354065
17,0.16521035134792328,0.13342776894569397
18,0.21479272842407227,0.1520925611257553
19,0.2789519727230072,0.09317553043365479
20,0.18071909248828888,0.0832524523139
21,0.23675833642482758,0.19975073635578156
22,0.20356330275535583,0.2531214654445648
23,0.21757037937641144,0.22988715767860413
24,0.24203474819660187,0.20660848915576935
25,0.15829864144325256,0.07303468883037567
26,0.24984204769134521,0.08227881789207458
27,0.24242037534713745,0.18772567808628082
28,0.24460318684577942,0.18268032371997833
29,0.11214794963598251,0.07784497737884521
