task,nc1,nc2,nc3,nc3_max,nc3_min,nc4,isotropy,equinormity
0,0.3632931411266327,0.2333596646785736,0.14646904170513153,0.18032610416412354,0.11497199535369873,0.9660000205039978,0.20369143784046173,0.11387068778276443
1,0.37295565009117126,0.24939510226249695,0.1245262548327446,0.13229221105575562,0.11667943000793457,0.9760000109672546,0.14052967727184296,0.20603235065937042
2,0.450437068939209,0.3825693428516388,0.1246308907866478,0.22686517238616943,0.06104785203933716,0.9700000286102295,0.30984315276145935,0.22440257668495178
